	params	preprocess_model	train_accuracy	test_accuracy	train_logloss	test_logloss	train_macro_f1	test_macro_f1	train_macro_precision	test_macro_precision	train_macro_recall	test_macro_recall	train_micro_f1	test_micro_f1	train_micro_precision	test_micro_precision	train_micro_recall	test_micro_recall
DM	('strategy', 'most_frequent')	lsi_10	0.72282895140038	0.7228728728728728			0.20977955359603198	0.20978525632051964	0.180707237850095	0.1807182182182182	0.25	0.25	0.72282895140038	0.7228728728728729	0.72282895140038	0.7228728728728728	0.72282895140038	0.7228728728728728
RF	('max_depth', 2.0)	lsi_10	0.7400410614696329	0.7264264264264264	15.295215489291436	16.551471375846212	0.3271053422662783	0.2812804108941239	0.4098584960361557	0.3321116506746276	0.27261904761904765	0.25826589813140444	0.7400410614696329	0.7264264264264264	0.7400410614696329	0.7264264264264264	0.7400410614696329	0.7264264264264264
RF	('max_depth', 2.5)	lsi_10	0.7400410614696329	0.7264264264264264	15.295215489291436	16.551471375846212	0.3271053422662783	0.2812804108941239	0.4098584960361557	0.3321116506746276	0.27261904761904765	0.25826589813140444	0.7400410614696329	0.7264264264264264	0.7400410614696329	0.7264264264264264	0.7400410614696329	0.7264264264264264
RF	('max_depth', 3.0)	lsi_10	0.7635870564441993	0.7301301301301301	14.082847500687723	16.39595349033211	0.39755942257580135	0.29272136219233713	0.5608143996396588	0.32150563419705147	0.312607810452638	0.2700516124171187	0.7635870564441993	0.7301301301301301	0.7635870564441993	0.7301301301301301	0.7635870564441993	0.7301301301301301
RF	('max_depth', 3.5)	lsi_10	0.7635870564441993	0.7301301301301301	14.082847500687723	16.39595349033211	0.39755942257580135	0.29272136219233713	0.5608143996396588	0.32150563419705147	0.312607810452638	0.2700516124171187	0.7635870564441993	0.7301301301301301	0.7635870564441993	0.7301301301301301	0.7635870564441993	0.7301301301301301
RF	('max_depth', 4.0)	lsi_10	0.7898418826990256	0.7301801801801802	12.568751072291574	16.30453557133051	0.4715886743805622	0.3040842376479655	0.6756712092372883	0.3322255033278351	0.36238493307458824	0.281837326702833	0.7898418826990256	0.7301801801801802	0.7898418826990256	0.7301801801801802	0.7898418826990256	0.7301801801801802
RF	('max_depth', 4.5)	lsi_10	0.7898418826990256	0.7301801801801802	12.568751072291574	16.30453557133051	0.4715886743805622	0.3040842376479655	0.6756712092372883	0.3322255033278351	0.36238493307458824	0.281837326702833	0.7898418826990256	0.7301801801801802	0.7898418826990256	0.7301801801801802	0.7898418826990256	0.7301801801801802
RF	('max_depth', 5.0)	lsi_10	0.8102408530979961	0.7301301301301301	10.936867447714112	16.230774881483566	0.5750268543514816	0.3712136006256028	0.8849831066917044	0.48683258352094694	0.4268875122323398	0.30489489150090415	0.8102408530979961	0.7301301301301301	0.8102408530979961	0.7301301301301301	0.8102408530979961	0.7301301301301301
RF	('max_depth', 5.5)	lsi_10	0.8102408530979961	0.7301301301301301	10.936867447714112	16.230774881483566	0.5750268543514816	0.3712136006256028	0.8849831066917044	0.48683258352094694	0.4268875122323398	0.30489489150090415	0.8102408530979961	0.7301301301301301	0.8102408530979961	0.7301301301301301	0.8102408530979961	0.7301301301301301
RF	('max_depth', 6.0)	lsi_10	0.8365171293742723	0.7301801801801802	9.352053669948509	16.2283976994758	0.6680019300236665	0.37108089313951037	0.9470027990002968	0.4793731567136838	0.5172438672438672	0.3084067962628089	0.8365171293742721	0.7301801801801802	0.8365171293742723	0.7301801801801802	0.8365171293742723	0.7301801801801802
RF	('max_depth', 6.5)	lsi_10	0.8365171293742723	0.7301801801801802	9.352053669948509	16.2283976994758	0.6680019300236665	0.37108089313951037	0.9470027990002968	0.4793731567136838	0.5172438672438672	0.3084067962628089	0.8365171293742721	0.7301801801801802	0.8365171293742723	0.7301801801801802	0.8365171293742723	0.7301801801801802
RF	('max_depth', 7.0)	lsi_10	0.8609578966721824	0.7284284284284285	7.920252506518061	16.29103672671323	0.7165763400455797	0.38683128535699335	0.9557970430946847	0.4916531550695956	0.5741702741702741	0.3220079867389994	0.8609578966721824	0.7284284284284285	0.8609578966721824	0.7284284284284285	0.8609578966721824	0.7284284284284285
RF	('max_depth', 7.5)	lsi_10	0.8609578966721824	0.7284284284284285	7.920252506518061	16.29103672671323	0.7165763400455797	0.38683128535699335	0.9557970430946847	0.4916531550695956	0.5741702741702741	0.3220079867389994	0.8609578966721824	0.7284284284284285	0.8609578966721824	0.7284284284284285	0.8609578966721824	0.7284284284284285
RF	('max_depth', 8.0)	lsi_10	0.8849665992523136	0.7338338338338339	6.759598644601584	16.59040849094321	0.778904001810987	0.39068725591289677	0.9623364743817593	0.4874646908115997	0.6544011544011543	0.32915084388185656	0.8849665992523136	0.7338338338338339	0.8849665992523136	0.7338338338338339	0.8849665992523136	0.7338338338338339
RF	('max_depth', 8.5)	lsi_10	0.8849665992523136	0.7338338338338339	6.759598644601584	16.59040849094321	0.778904001810987	0.39068725591289677	0.9623364743817593	0.4874646908115997	0.6544011544011543	0.32915084388185656	0.8849665992523136	0.7338338338338339	0.8849665992523136	0.7338338338338339	0.8849665992523136	0.7338338338338339
RF	('max_depth', 9.0)	lsi_10	0.914870993442422	0.7373873873873874	5.839440669347745	16.63142907343208	0.8352045519189616	0.39348969451910226	0.9709690816957057	0.4865977436354079	0.7330327080327079	0.3339048372513562	0.914870993442422	0.7373873873873873	0.914870993442422	0.7373873873873874	0.914870993442422	0.7373873873873874
