	params	preprocess_model	train_accuracy	test_accuracy	train_logloss	test_logloss	train_macro_f1	test_macro_f1	train_macro_precision	test_macro_precision	train_macro_recall	test_macro_recall	train_micro_f1	test_micro_f1	train_micro_precision	test_micro_precision	train_micro_recall	test_micro_recall
DM	('strategy', 'most_frequent')	lsi_10	0.72282895140038	0.7228728728728728			0.20977955359603198	0.20978525632051964	0.180707237850095	0.1807182182182182	0.25	0.25	0.72282895140038	0.7228728728728729	0.72282895140038	0.7228728728728728	0.72282895140038	0.7228728728728728
RF	('max_depth', 2.0)	lsi_10	0.740948090948091	0.7300800800800801	247.0788785546296	249.45675927663873	0.32824740841819666	0.2835050762791725	0.4106701026099803	0.33257073796064623	0.27380952380952384	0.2612797619047619	0.740948090948091	0.7300800800800801	0.740948090948091	0.7300800800800801	0.740948090948091	0.7300800800800801
RF	('max_depth', 2.5)	lsi_10	0.740948090948091	0.7300800800800801	247.0788785546296	249.45675927663873	0.32824740841819666	0.2835050762791725	0.4106701026099803	0.33257073796064623	0.27380952380952384	0.2612797619047619	0.740948090948091	0.7300800800800801	0.740948090948091	0.7300800800800801	0.740948090948091	0.7300800800800801
RF	('max_depth', 3.0)	lsi_10	0.7622265122265122	0.7301301301301301	251.31265593366888	251.89479332995492	0.39583028481909255	0.29272136219233713	0.5598424524874126	0.32150563419705147	0.31082209616692374	0.2700516124171187	0.7622265122265122	0.7301301301301301	0.7622265122265122	0.7301301301301301	0.7622265122265122	0.7301301301301301
RF	('max_depth', 3.5)	lsi_10	0.7622265122265122	0.7301301301301301	251.31265593366888	251.89479332995492	0.39583028481909255	0.29272136219233713	0.5598424524874126	0.32150563419705147	0.31082209616692374	0.2700516124171187	0.7622265122265122	0.7301301301301301	0.7622265122265122	0.7301301301301301	0.7622265122265122	0.7301301301301301
RF	('max_depth', 4.0)	lsi_10	0.7889348532205676	0.7319819819819819	257.10369429290427	255.01988162676054	0.46914561721210823	0.30746933698330947	0.6725365017401186	0.3398489383481137	0.36037634141082414	0.28246232670283306	0.7889348532205676	0.7319819819819819	0.7889348532205676	0.7319819819819819	0.7889348532205676	0.7319819819819819
RF	('max_depth', 4.5)	lsi_10	0.7889348532205676	0.7319819819819819	257.10369429290427	255.01988162676054	0.46914561721210823	0.30746933698330947	0.6725365017401186	0.3398489383481137	0.36037634141082414	0.28246232670283306	0.7889348532205676	0.7319819819819819	0.7889348532205676	0.7319819819819819	0.7889348532205676	0.7319819819819819
RF	('max_depth', 5.0)	lsi_10	0.8120518477661334	0.7265265265265265	264.37530816302	258.3679364654739	0.5787333502490893	0.36522019816014967	0.886608099088023	0.473029609324744	0.43052507836990594	0.3018889391199518	0.8120518477661334	0.7265265265265265	0.8120518477661334	0.7265265265265265	0.8120518477661334	0.7265265265265265
RF	('max_depth', 5.5)	lsi_10	0.8120518477661334	0.7265265265265265	264.37530816302	258.3679364654739	0.5787333502490893	0.36522019816014967	0.886608099088023	0.473029609324744	0.43052507836990594	0.3018889391199518	0.8120518477661334	0.7265265265265265	0.8120518477661334	0.7265265265265265	0.8120518477661334	0.7265265265265265
RF	('max_depth', 6.0)	lsi_10	0.8378715450144021	0.7319819819819819	272.82330035279944	261.75373334777066	0.6675892483161692	0.3725531004079565	0.9473410319129993	0.483070612170848	0.5163359788359788	0.30903179626280897	0.8378715450144021	0.7319819819819819	0.8378715450144021	0.7319819819819819	0.8378715450144021	0.7319819819819819
RF	('max_depth', 6.5)	lsi_10	0.8378715450144021	0.7319819819819819	272.82330035279944	261.75373334777066	0.6675892483161692	0.3725531004079565	0.9473410319129993	0.483070612170848	0.5163359788359788	0.30903179626280897	0.8378715450144021	0.7319819819819819	0.8378715450144021	0.7319819819819819	0.8378715450144021	0.7319819819819819
RF	('max_depth', 7.0)	lsi_10	0.861867990439419	0.7283783783783784	282.57474805576555	265.51386851550956	0.720973402681819	0.3692554271175773	0.9560423465892848	0.4580522920706744	0.5793771043771044	0.31429965340566607	0.861867990439419	0.7283783783783784	0.861867990439419	0.7283783783783784	0.861867990439419	0.7283783783783784
RF	('max_depth', 7.5)	lsi_10	0.861867990439419	0.7283783783783784	282.57474805576555	265.51386851550956	0.720973402681819	0.3692554271175773	0.9560423465892848	0.4580522920706744	0.5793771043771044	0.31429965340566607	0.861867990439419	0.7283783783783784	0.861867990439419	0.7283783783783784	0.861867990439419	0.7283783783783784
RF	('max_depth', 8.0)	lsi_10	0.8858675001532145	0.7374374374374375	293.33829816284253	270.0139047265388	0.7798174174713116	0.3952744614371568	0.9625727284883162	0.5001360237011913	0.6555916305916305	0.33040084388185653	0.8858675001532145	0.7374374374374375	0.8858675001532145	0.7374374374374375	0.8858675001532145	0.7374374374374375
RF	('max_depth', 8.5)	lsi_10	0.8858675001532145	0.7374374374374375	293.33829816284253	270.0139047265388	0.7798174174713116	0.3952744614371568	0.9625727284883162	0.5001360237011913	0.6555916305916305	0.33040084388185653	0.8858675001532145	0.7374374374374375	0.8858675001532145	0.7374374374374375	0.8858675001532145	0.7374374374374375
RF	('max_depth', 9.0)	lsi_10	0.9144174787031931	0.7355855855855855	304.43497912827615	274.5911375046147	0.836378087227612	0.39125552672321207	0.9708366323357627	0.487199728986917	0.7351310726310726	0.33152388487040385	0.9144174787031931	0.7355855855855855	0.9144174787031931	0.7355855855855855	0.9144174787031931	0.7355855855855855
RF	('max_depth', 9.5)	lsi_10	0.9144174787031931	0.7355855855855855	304.43497912827615	274.5911375046147	0.836378087227612	0.39125552672321207	0.9708366323357627	0.487199728986917	0.7351310726310726	0.33152388487040385	0.9144174787031931	0.7355855855855855	0.9144174787031931	0.7355855855855855	0.9144174787031931	0.7355855855855855
RF	('max_depth', 10.0)	lsi_10	0.944297358583073	0.7355855855855855	314.95757267517035	278.8942389709923	0.8849543994986627	0.39473030492292704	0.9798705056837322	0.48807471927414836	0.8070346320346319	0.33503578963230857	0.944297358583073	0.7355855855855855	0.944297358583073	0.7355855855855855	0.944297358583073	0.7355855855855855
RF	('max_depth', 10.5)	lsi_10	0.944297358583073	0.7355855855855855	314.95757267517035	278.8942389709923	0.8849543994986627	0.39473030492292704	0.9798705056837322	0.48807471927414836	0.8070346320346319	0.33503578963230857	0.944297358583073	0.7355855855855855	0.944297358583073	0.7355855855855855	0.944297358583073	0.7355855855855855
RF	('max_depth', 11.0)	lsi_10	0.9624256909971196	0.7355855855855855	327.8437859227741	285.4705096388008	0.9119269265026253	0.3953620170446873	0.9857218541004921	0.4905669563129783	0.8489778739778739	0.33503578963230857	0.9624256909971196	0.7355855855855855	0.9624256909971196	0.7355855855855855	0.9624256909971196	0.7355855855855855
RF	('max_depth', 11.5)	lsi_10	0.9624256909971196	0.7355855855855855	327.8437859227741	285.4705096388008	0.9119269265026253	0.3953620170446873	0.9857218541004921	0.4905669563129783	0.8489778739778739	0.33503578963230857	0.9624256909971196	0.7355855855855855	0.9624256909971196	0.7355855855855855	0.9624256909971196	0.7355855855855855
RF	('max_depth', 12.0)	lsi_10	0.9805295091009377	0.7374374374374375	319.349775596063	290.51959219078816	0.9435846492812108	0.3972319930118526	0.9916326273843055	0.49197654870289254	0.9003968253968255	0.337416742013261	0.9805295091009377	0.7374374374374375	0.9805295091009377	0.7374374374374375	0.9805295091009377	0.7374374374374375
RF	('max_depth', 12.5)	lsi_10	0.9805295091009377	0.7374374374374375	319.349775596063	290.51959219078816	0.9435846492812108	0.3972319930118526	0.9916326273843055	0.49197654870289254	0.9003968253968255	0.337416742013261	0.9805295091009377	0.7374374374374375	0.9805295091009377	0.7374374374374375	0.9805295091009377	0.7374374374374375
RF	('max_depth', 13.0)	lsi_10	0.9868695225838083	0.7356356356356356	331.779521477866	292.5811934387475	0.9609450054939479	0.3970619021744445	0.9937608863601627	0.4887673371832332	0.9303030303030303	0.3385476943942134	0.9868695225838083	0.7356356356356357	0.9868695225838083	0.7356356356356356	0.9868695225838083	0.7356356356356356
RF	('max_depth', 13.5)	lsi_10	0.9868695225838083	0.7356356356356356	331.779521477866	292.5811934387475	0.9609450054939479	0.3970619021744445	0.9937608863601627	0.4887673371832332	0.9303030303030303	0.3385476943942134	0.9868695225838083	0.7356356356356357	0.9868695225838083	0.7356356356356356	0.9868695225838083	0.7356356356356356
RF	('max_depth', 14.0)	lsi_10	0.9895844824416251	0.7356356356356356	319.47851203236587	305.4054407520246	0.9693577351999316	0.3970619021744445	0.9946886546771585	0.4887673371832332	0.9453463203463205	0.3385476943942134	0.9895844824416251	0.7356356356356357	0.9895844824416251	0.7356356356356356	0.9895844824416251	0.7356356356356356
RF	('max_depth', 14.5)	lsi_10	0.9895844824416251	0.7356356356356356	319.47851203236587	305.4054407520246	0.9693577351999316	0.3970619021744445	0.9946886546771585	0.4887673371832332	0.9453463203463205	0.3385476943942134	0.9895844824416251	0.7356356356356357	0.9895844824416251	0.7356356356356356	0.9895844824416251	0.7356356356356356
