	params	preprocess_model	train_accuracy	test_accuracy	train_logloss	test_logloss	train_macro_f1	test_macro_f1	train_macro_precision	test_macro_precision	train_macro_recall	test_macro_recall	train_micro_f1	test_micro_f1	train_micro_precision	test_micro_precision	train_micro_recall	test_micro_recall
DM	('strategy', 'most_frequent')	tfidf	0.72282895140038	0.7228728728728728			0.20977955359603198	0.20978525632051964	0.180707237850095	0.1807182182182182	0.25	0.25	0.72282895140038	0.7228728728728729	0.72282895140038	0.7228728728728728	0.72282895140038	0.7228728728728728
RF	('max_depth', 2.0)	tfidf	0.72282895140038	0.7228728728728728	246.16615025371647	248.80675353377387	0.20977955359603198	0.20978525632051964	0.180707237850095	0.1807182182182182	0.25	0.25	0.72282895140038	0.7228728728728729	0.72282895140038	0.7228728728728728	0.72282895140038	0.7228728728728728
RF	('max_depth', 2.5)	tfidf	0.72282895140038	0.7228728728728728	246.16615025371647	248.80675353377387	0.20977955359603198	0.20978525632051964	0.180707237850095	0.1807182182182182	0.25	0.25	0.72282895140038	0.7228728728728729	0.72282895140038	0.7228728728728728	0.72282895140038	0.7228728728728728
RF	('max_depth', 3.0)	tfidf	0.72282895140038	0.7228728728728728	248.5739737305279	250.37760908558204	0.20977955359603198	0.20978525632051964	0.180707237850095	0.1807182182182182	0.25	0.25	0.72282895140038	0.7228728728728729	0.72282895140038	0.7228728728728728	0.72282895140038	0.7228728728728728
RF	('max_depth', 3.5)	tfidf	0.72282895140038	0.7228728728728728	248.5739737305279	250.37760908558204	0.20977955359603198	0.20978525632051964	0.180707237850095	0.1807182182182182	0.25	0.25	0.72282895140038	0.7228728728728729	0.72282895140038	0.7228728728728728	0.72282895140038	0.7228728728728728
RF	('max_depth', 4.0)	tfidf	0.7241864313292885	0.7228728728728728	251.15015644719898	252.1470850484513	0.2752442644101928	0.20978525632051964	0.33095298239687143	0.1807182182182182	0.2517857142857143	0.25	0.7241864313292885	0.7228728728728729	0.7241864313292885	0.7228728728728728	0.7241864313292885	0.7228728728728728
RF	('max_depth', 4.5)	tfidf	0.7241864313292885	0.7228728728728728	251.15015644719898	252.1470850484513	0.2752442644101928	0.20978525632051964	0.33095298239687143	0.1807182182182182	0.2517857142857143	0.25	0.7241864313292885	0.7228728728728729	0.7241864313292885	0.7228728728728728	0.7241864313292885	0.7228728728728728
RF	('max_depth', 5.0)	tfidf	0.7246399460685173	0.7228728728728728	253.70213860654866	253.8423243807475	0.2970483096472524	0.20978525632051964	0.3810351819433567	0.1807182182182182	0.2523809523809524	0.25	0.7246399460685176	0.7228728728728729	0.7246399460685173	0.7228728728728728	0.7246399460685173	0.7228728728728728
RF	('max_depth', 5.5)	tfidf	0.7246399460685173	0.7228728728728728	253.70213860654866	253.8423243807475	0.2970483096472524	0.20978525632051964	0.3810351819433567	0.1807182182182182	0.2523809523809524	0.25	0.7246399460685176	0.7228728728728729	0.7246399460685173	0.7228728728728728	0.7246399460685173	0.7228728728728728
RF	('max_depth', 6.0)	tfidf	0.7291628363056935	0.7228728728728728	256.20261590455215	255.55294584867025	0.34349142345935996	0.20978525632051964	0.5318619813722869	0.1807182182182182	0.2681216931216931	0.25	0.7291628363056935	0.7228728728728729	0.7291628363056935	0.7228728728728728	0.7291628363056935	0.7228728728728728
RF	('max_depth', 6.5)	tfidf	0.7291628363056935	0.7228728728728728	256.20261590455215	255.55294584867025	0.34349142345935996	0.20978525632051964	0.5318619813722869	0.1807182182182182	0.2681216931216931	0.25	0.7291628363056935	0.7228728728728729	0.7291628363056935	0.7228728728728728	0.7291628363056935	0.7228728728728728
RF	('max_depth', 7.0)	tfidf	0.733241404669976	0.7228728728728728	258.73333332880435	257.36681949173294	0.3907939399186959	0.20978525632051964	0.6561111155290978	0.1807182182182182	0.27850529100529103	0.25	0.733241404669976	0.7228728728728729	0.733241404669976	0.7228728728728728	0.733241404669976	0.7228728728728728
RF	('max_depth', 7.5)	tfidf	0.733241404669976	0.7228728728728728	258.73333332880435	257.36681949173294	0.3907939399186959	0.20978525632051964	0.6561111155290978	0.1807182182182182	0.27850529100529103	0.25	0.733241404669976	0.7228728728728729	0.733241404669976	0.7228728728728728	0.733241404669976	0.7228728728728728
RF	('max_depth', 8.0)	tfidf	0.7373169087454802	0.7228728728728728	261.3413106579759	258.9099402858921	0.39398049402625657	0.20978525632051964	0.6437018560013529	0.1807182182182182	0.28386243386243387	0.25	0.7373169087454802	0.7228728728728729	0.7373169087454802	0.7228728728728728	0.7373169087454802	0.7228728728728728
RF	('max_depth', 8.5)	tfidf	0.7373169087454802	0.7228728728728728	261.3413106579759	258.9099402858921	0.39398049402625657	0.20978525632051964	0.6437018560013529	0.1807182182182182	0.28386243386243387	0.25	0.7373169087454802	0.7228728728728729	0.7373169087454802	0.7228728728728728	0.7373169087454802	0.7228728728728728
RF	('max_depth', 9.0)	tfidf	0.7422994422994422	0.7228728728728728	263.85210556433344	260.6658634778003	0.4025340960893077	0.23280517860542424	0.6556903789312795	0.2309188734188734	0.29041005291005295	0.2517559523809524	0.7422994422994422	0.7228728728728729	0.7422994422994422	0.7228728728728728	0.7422994422994422	0.7228728728728728
RF	('max_depth', 9.5)	tfidf	0.7422994422994422	0.7228728728728728	263.85210556433344	260.6658634778003	0.4025340960893077	0.23280517860542424	0.6556903789312795	0.2309188734188734	0.29041005291005295	0.2517559523809524	0.7422994422994422	0.7228728728728729	0.7422994422994422	0.7228728728728728	0.7422994422994422	0.7228728728728728
